,City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,mercedes,ar,-29.1836,-58.08,67.05,81,0,7.07
1,punta arenas,cl,-53.1627,-70.9081,40.71,100,32,13.89
2,novo oriente,br,-5.5351,-40.7749,70.47,92,88,2.93
3,lebu,cl,-37.6167,-73.6501,61.11,100,92,19.04
4,jamestown,sh,-15.9388,-5.7168,73.35,100,100,11.65
5,tuktoyaktuk,ca,69.444,-133.032,5.72,74,36,2.71
6,hobart,au,-42.8826,147.3281,70.41,52,44,5.95
7,waingapu,id,-9.6522,120.2637,77.85,100,68,2.93
11,albany,au,-35.0248,117.8836,71.28,94,88,4.61
12,cherskiy,ru,68.75,161.3,-16.66,49,32,6.96
14,avarua,ck,-21.2078,-159.775,79.59,100,76,6.17
15,northam,au,-31.6536,116.6727,96.57,28,92,9.75
16,puerto ayora,ec,-0.7394,-90.3518,76.77,100,20,4.16
18,ushuaia,ar,-54.807,-68.3074,35.04,100,20,5.95
19,isangel,vu,-19.55,169.2667,83.97,94,76,13.44
20,oranjemund,na,-28.55,16.4333,63.63,98,56,5.17
21,dikson,ru,73.5069,80.5464,0.45,95,44,25.19
22,hilo,us,19.7072,-155.0817,65.97,100,100,14.67
24,shakawe,bw,-18.3633,21.8398,69.75,79,0,7.29
25,yumen,cn,40.2917,97.0449,52.56,68,0,13.78
26,atuona,pf,-9.8,-139.0334,78.75,100,64,7.74
27,lagoa,pt,37.1363,-8.4541,59.7,97,100,12.33
28,busselton,au,-33.6445,115.3489,76.23,84,56,4.5
29,inta,ru,66.0397,60.1316,9.9,61,80,6.96
30,caravelas,br,-17.7297,-39.2661,78.39,100,92,11.77
32,garissa,ke,-0.4568,39.6405,77.76,96,68,4.61
33,lavrentiya,ru,65.5842,-170.989,2.16,100,88,10.2
34,rikitea,pf,-23.1203,-134.9692,80.28,100,76,7.4
37,chapais,ca,49.7839,-74.8569,20.55,87,80,6.96
38,vaini,to,-21.2001,-175.2,85.73,99,12,14.23
39,araceli,ph,10.5529,119.9913,81.45,100,0,14.79
40,klaksvik,fo,62.2266,-6.5891,40.87,97,80,26.98
41,san patricio,mx,19.223,-104.6989,63.72,100,0,2.48
43,chuy,uy,-33.6938,-53.4562,65.7,78,0,10.09
44,hermanus,za,-34.4176,19.2361,62.46,88,36,4.27
47,ponta do sol,cv,17.1994,-25.092,70.02,100,0,15.01
48,hofn,is,64.2539,-15.2082,39.69,98,92,16.8
49,provideniya,ru,64.4238,-173.2276,4.95,100,80,9.53
51,daman,in,20.417,72.8332,82.35,84,24,14.9
52,arraial do cabo,br,-22.9663,-42.0245,76.77,99,36,9.75
53,bambous virieux,mu,-20.3428,57.7575,79.59,86,92,18.14
57,la primavera,co,5.4918,-70.4148,79.65,55,8,3.6
58,vila franca do campo,pt,37.7167,-25.4334,58.26,100,48,28.66
60,bilibino,ru,68.055,166.4449,-22.06,31,8,2.15
62,champerico,gt,14.3,-91.9167,74.79,100,0,2.82
63,cidreira,br,-30.1658,-50.2184,66.42,84,88,5.06
64,husavik,is,66.0449,-17.3389,32.81,95,92,7.4
67,bluff,nz,-46.6,168.3333,59.94,97,100,29.66
68,oriximina,br,-1.7656,-55.8662,74.97,100,80,3.94
69,port elizabeth,za,-33.918,25.5701,68.23,98,92,18.25
70,tura,ru,64.2742,100.217,1.98,57,68,4.16
73,nikolskoye,ru,59.7035,30.7861,36.36,93,92,8.97
77,tasiilaq,gl,65.6145,-37.6368,6.24,88,0,9.86
79,palmas bellas,pa,9.2319,-80.0867,78.22,91,80,6.4
80,touros,br,-5.1989,-35.4609,79.83,91,88,9.08
82,wanaka,nz,-44.6972,169.1364,60.39,32,76,6.85
83,formosa,br,-15.5493,-47.3302,64.98,97,12,3.15
84,maragogi,br,-9.0119,-35.2226,76.41,97,68,5.17
85,bredasdorp,za,-34.5331,20.0428,64.54,93,24,19.04
86,yellowknife,ca,62.4541,-114.3774,17.91,76,0,18.48
87,athabasca,ca,54.7215,-113.2858,10.53,62,8,4.27
88,kankaanpaa,fi,61.8,22.4167,22.53,76,76,9.08
89,longyearbyen,sj,78.2186,15.6401,1.13,93,64,1.7
91,flin flon,ca,54.7698,-101.879,23.13,83,0,6.4
92,cooma,au,-36.2357,149.1264,68.04,72,64,4.61
93,korla,cn,41.7597,86.1469,57.78,42,12,6.73
98,rio grande,br,-32.0335,-52.0992,64.8,100,0,2.71
99,marshalltown,us,42.0448,-92.9104,20.59,80,0,4.61
100,kavieng,pg,-2.5745,150.7967,80.1,100,36,9.19
101,lircay,pe,-12.9896,-74.7206,27.63,85,44,1.14
102,batagay,ru,67.6549,134.6351,-14.86,44,8,4.38
103,kyabe,td,9.4515,18.9449,77.49,21,20,6.62
105,ahipara,nz,-35.1665,173.1562,68.58,76,0,8.75
106,ilulissat,gl,69.2167,-51.1,8.94,84,64,3.15
107,hirara,jp,24.8,125.2833,74.46,100,20,15.23
109,garowe,so,8.4061,48.4832,73.89,76,8,6.29
110,along,in,28.1698,94.7985,69.75,55,0,2.04
113,grass valley,us,39.2191,-121.0611,47.34,97,92,8.08
114,fortuna,us,40.5974,-124.1561,45.86,100,88,2.37
115,verkhnyaya inta,ru,65.9884,60.3234,9.36,69,76,6.4
116,faanui,pf,-16.4834,-151.75,82.53,100,68,8.52
117,aiquile,bo,-18.2003,-65.1807,52.38,99,48,3.71
118,yulara,au,-25.2411,130.9869,100.42,18,0,5.39
119,hithadhoo,mv,-0.6,73.0833,84.24,100,56,8.41
121,kosh-agach,ru,49.9947,88.6628,24.93,44,44,2.59
125,bay roberts,ca,47.5759,-53.2834,31.28,88,80,20.38
127,clyde river,ca,70.4692,-68.5915,-13.56,84,48,5.17
132,butaritari,ki,3.0707,172.7902,83.61,98,20,14.79
134,nanortalik,gl,60.1432,-45.2372,23.85,100,56,7.18
136,egvekinot,ru,66.3167,-179.1667,-15.22,43,68,2.71
137,tocopilla,cl,-22.092,-70.198,58.68,100,0,0.02
139,eydhafushi,mv,5.1033,73.0708,79.74,100,92,1.59
141,marsh harbour,bs,26.5383,-77.0611,67.14,100,20,4.27
142,port hedland,au,-20.3112,118.5801,112.87,29,0,4.16
